Dataset,Mean_ROC_AUC,Std_ROC_AUC,Mean_Accuracy,Std_Accuracy,Mean_Time_s,Paper_ROC_AUC,Diff
balance-scale,0.9912,0.0015,0.9636,0.0059,2.2786,0.9973,-0.0061
mfeat-fourier,0.9902,0.0010,0.8762,0.0066,4.7523,0.9811,+0.0091
breast-w,0.9932,0.0018,0.9690,0.0023,2.3559,0.9934,-0.0002
mfeat-karhunen,0.9995,0.0002,0.9782,0.0015,4.5958,0.9978,+0.0017
mfeat-morphological,0.9684,0.0013,0.7482,0.0083,2.3955,0.9669,+0.0015
mfeat-zernike,0.9839,0.0006,0.8416,0.0040,3.6539,0.9823,+0.0016
credit-g,0.7913,0.0128,0.7596,0.0110,2.2531,0.7894,+0.0019
diabetes,0.8345,0.0155,0.7578,0.0145,2.1728,0.8410,-0.0065
tic-tac-toe,0.9994,0.0005,0.9871,0.0024,2.2285,0.9759,+0.0235
vehicle,0.9736,0.0038,0.8662,0.0147,2.2212,0.9589,+0.0147
eucalyptus,0.9213,0.0077,0.6773,0.0207,2.2522,0.9245,-0.0032
pc4,0.9491,0.0050,0.9122,0.0076,2.7198,0.9383,+0.0108
pc3,0.8373,0.0136,0.8959,0.0046,2.7543,0.8373,+0.0000
kc2,0.8424,0.0169,0.8444,0.0079,2.2761,0.8346,+0.0078
pc1,0.8749,0.0148,0.9305,0.0024,2.3352,0.8761,-0.0012
wdbc,0.9955,0.0015,0.9705,0.0082,2.3049,0.9964,-0.0009
car,0.9990,0.0005,0.9843,0.0028,2.2147,0.9950,+0.0040
steel-plates-fault,0.9783,0.0015,0.8134,0.0088,2.7859,0.9655,+0.0128
